date,home_team,score,away_team
06-10-2024,Chelsea,1 - 1,Nott'm Forest
27-10-2024,Chelsea,2 - 1,Newcastle
10-11-2024,Chelsea,1 - 1,Arsenal
01-12-2024,Chelsea,3 - 0,Aston Villa
15-12-2024,Chelsea,2 - 1,Brentford
26-12-2024,Chelsea,1 - 2,Fulham
14-01-2025,Chelsea,2 - 2,Bournemouth
20-01-2025,Chelsea,3 - 1,Wolves
03-02-2025,Chelsea,2 - 1,West Ham
25-08-2024,Wolves,2 - 6,Chelsea
14-09-2024,Bournemouth,0 - 1,Chelsea
21-09-2024,West Ham,0 - 3,Chelsea
20-10-2024,Liverpool,2 - 1,Chelsea
03-11-2024,Man United,1 - 1,Chelsea
23-11-2024,Leicester,1 - 2,Chelsea
04-12-2024,Southampton,1 - 5,Chelsea
08-12-2024,Tottenham,3 - 4,Chelsea
22-12-2024,Everton,0 - 0,Chelsea
30-12-2024,Ipswich,2 - 0,Chelsea
04-01-2025,Crystal Palace,1 - 1,Chelsea
25-01-2025,Man City,3 - 1,Chelsea
14-02-2025,Brighton,3 - 0,Chelsea
24-08-2024,Crystal Palace,0 - 2,West Ham
14-09-2024,Crystal Palace,2 - 2,Leicester
21-09-2024,Crystal Palace,0 - 0,Man United
05-10-2024,Crystal Palace,0 - 1,Liverpool
27-10-2024,Crystal Palace,1 - 0,Tottenham
09-11-2024,Crystal Palace,0 - 2,Fulham
30-11-2024,Crystal Palace,1 - 1,Newcastle
07-12-2024,Crystal Palace,2 - 2,Man City
21-12-2024,Crystal Palace,1 - 5,Arsenal
29-12-2024,Crystal Palace,2 - 1,Southampton
04-01-2025,Crystal Palace,1 - 1,Chelsea
26-01-2025,Crystal Palace,1 - 2,Brentford
15-02-2025,Crystal Palace,1 - 2,Everton
18-08-2024,Brentford,2 - 1,Crystal Palace
01-09-2024,Chelsea,1 - 1,Crystal Palace
28-09-2024,Everton,2 - 1,Crystal Palace
21-10-2024,Nott'm Forest,1 - 0,Crystal Palace
02-11-2024,Wolves,2 - 2,Crystal Palace
23-11-2024,Aston Villa,2 - 2,Crystal Palace
03-12-2024,Ipswich,0 - 1,Crystal Palace
15-12-2024,Brighton,1 - 3,Crystal Palace
26-12-2024,Bournemouth,0 - 0,Crystal Palace
15-01-2025,Leicester,0 - 2,Crystal Palace
18-01-2025,West Ham,0 - 2,Crystal Palace
02-02-2025,Man United,0 - 2,Crystal Palace
17-08-2024,Everton,0 - 3,Brighton
31-08-2024,Everton,2 - 3,Bournemouth
28-09-2024,Everton,2 - 1,Crystal Palace
05-10-2024,Everton,0 - 0,Newcastle
